       jd             rh            delta   phase                  r                  g
2458326.5 2.702268364442 3.64575743484195  6.8623  19.80737350117021 20.305163850720277
2458327.5   2.7014113748 3.64280399242946  6.9566  19.80926439643298 20.307054745983045
2458328.5 2.700547148054 3.63972692356609  7.0549 19.811221477043052 20.309011826593117
2458329.5 2.699675690187 3.63652627726911  7.1568 19.813223153340758 20.311013502890823
2458330.5  2.69879700725 3.63320206328293  7.2623 19.815266355643953  20.31305670519402
2458331.5 2.697911105359  3.6297542539786  7.3713 19.817343631883617 20.315133981433682
2458332.5 2.697017990697 3.62618278683062  7.4835  19.81943895314016 20.317229302690226
2458333.5 2.696117669515  3.6224875674865  7.5988   19.8215455263391 20.319335875889166
2458334.5  2.69521014813 3.61866847377088   7.717 19.823652462593003  20.32144281214307
2458335.5 2.694295432928 3.61472536150286   7.838  19.82575353141868 20.323543880968746
2458336.5 2.693373530363 3.61065807364719  7.9617  19.82784273122792 20.325633080777987
2458337.5 2.692444446957 3.60646645479913  8.0878  19.82990586765638 20.327696217206444
2458338.5 2.691508189302 3.60215037281148  8.2164  19.83194597653051 20.329736326080575
2458339.5  2.69056476406  3.5977097478382  8.3472 19.833949485820856  20.33173983537092
2458340.5 2.689614177963 3.59314458581615  8.4801 19.835911572091337 20.333701921641403
2458341.5 2.688656437814  3.5884550092439   8.615  19.83782767242495 20.335618021975016
2458342.5 2.687691550485 3.58364127557127  8.7517 19.839689435744244  20.33747978529431
2458343.5 2.686719522924 3.57870377553318  8.8903  19.84150093668663 20.339291286236694
2458344.5 2.685740362146 3.57364301064985  9.0304 19.843246285685186 20.341036635235252
2458345.5 2.684754075241  3.5684595570078  9.1722   19.8449338956274 20.342724245177465
2458346.5  2.68376066937 3.56315402627863  9.3153  19.84654838939375 20.344338738943815
2458347.5 2.682760151765  3.5577270330893  9.4598 19.848094371855193  20.34588472140526
2458348.5  2.68175252973 3.55217917288035  9.6056  19.84956856436392 20.347358913913986
2458349.5 2.680737810644 3.54651100982557  9.7526 19.850967764663956  20.34875811421402
2458350.5 2.679716001954 3.54072307199788  9.9007  19.85228883226857 20.350079181818636
2458351.5 2.678687111183 3.53481585057174 10.0499 19.853532488116947 20.351322837667013
2458352.5 2.677651145924 3.52878980052079    10.2 19.854691826415703  20.35248217596577
2458353.5 2.676608113845 3.52264534122697  10.351  19.85576759746852 20.353557947018587
2458354.5 2.675558022687 3.51638285627708 10.5029   19.8567604909459 20.354550840495964
2458355.5 2.674500880264  3.5100026923723 10.6555  19.85766367662165 20.355454026171717
2458356.5 2.673436694465  3.5035051577156 10.8089  19.85848153984174 20.356271889391806
2458357.5 2.672365473255 3.49689052048801 10.9629 19.859207243019277 20.356997592569343
2458358.5 2.671287224674 3.49015900809183 11.1175 19.859841365306426 20.357631714856492
2458359.5 2.670201956839  3.4833108077477 11.2727 19.860384406743858 20.358174756293923
2458360.5 2.669109677949 3.47634606884347 11.4284 19.860833147809622 20.358623497359687
2458361.5 2.668010396279 3.46926490724269 11.5845  19.86118435628305 20.358974705833116
2458362.5  2.66690412019 3.46206741168641 11.7411 19.861442010074374  20.35923235962444
2458363.5 2.665790858125 3.45475365254229  11.898 19.861599166689548 20.359389516239613
2458364.5 2.664670618613 3.44732369345494 12.0552  19.86165610330066 20.359446452850726
2458365.5 2.663543410271 3.43977760676883 12.2127   19.8616130436584 20.359403393208467
2458366.5 2.662409241806  3.4321154936019 12.3705  19.86147017253305 20.359260522083115
2458367.5 2.661268122014 3.42433750869064 12.5284  19.86122056253675 20.359010912086816
2458368.5 2.660120059783 3.41644388826839 12.6864  19.86086444765256 20.358654797202625
2458369.5 2.658965064092 3.40843497650901 12.8445 19.860402074967496  20.35819242451756
